TIMESTAMP,median,p05,p95,density
2025-01-28,520.3473546278532,492.4341012387781,567.412828085416,255.44789132442475
2025-01-29,543.4555046268714,512.1337971475367,599.7747747674778,252.77000215203321
2025-01-30,540.6366542981157,495.6124308383323,584.630085999871,254.77693416499326
2025-01-31,551.5213292779606,513.8519281194026,627.3667953145957,263.8858034822778
2025-02-01,583.825294374149,521.2931964442972,634.0354998750909,281.9050190121434
2025-02-02,591.8896964643336,544.583022188533,640.7810700241365,287.7441402354563
2025-02-03,605.2185447823106,562.7876705391403,643.8564566476059,296.9669012670808
2025-02-04,589.9291769472636,544.2044065195964,627.6561046885275,295.4077000236673
2025-02-05,568.3817632283392,521.5246745496113,592.38533596421,289.2528057141675
2025-02-06,565.1825441235438,512.7072894373074,622.5089005112555,289.6886438357477
2025-02-07,566.0753995902538,530.1678073224159,625.5972051693062,292.6966905844125
2025-02-08,547.5267907947315,516.7516028305254,574.6719963419903,286.0641540202359
2025-02-09,557.0549719056937,493.6678589332177,585.2735924972912,286.47722905924076
2025-02-10,552.597036658555,493.9138861971278,582.1322217639756,283.23784554513327
2025-02-11,527.635365639743,482.3471299043091,578.7563482710459,271.9769925978057
2025-02-12,551.8844635227733,503.2903748680619,590.1206639648105,280.4290973184824
2025-02-13,547.7111226552771,510.2800801446154,582.5291330227726,281.59954892302164
2025-02-14,559.2042837230948,516.6875382176131,595.402099544016,278.6269475451394
2025-02-15,561.9937717687209,523.8433755346057,590.9786951584539,283.9786618336134
2025-02-16,574.8107507345594,516.5491201385386,621.2360260493798,297.0598195010643
2025-02-17,564.9122021480987,547.5322644694613,595.0494646060761,296.85349561119216
2025-02-18,574.9710924940008,528.870380284625,607.4131497425498,304.05663273083064
2025-02-19,573.902321238722,531.7821613935511,616.1209303253607,304.7808397444089
2025-02-20,564.3868920644163,505.5167267510676,605.5136289747402,300.6856111158318
2025-02-21,555.8183430246023,498.02762237731326,576.6537814036473,297.54729283972284
2025-02-22,553.0450603399703,510.20055267266645,618.8438216660288,298.701085789884
2025-02-23,535.3179554136711,487.4956469352641,560.4624274157457,290.4600951783349
2025-02-24,539.8414440720105,507.09645571091136,581.8169946143945,293.71134062677396
2025-02-25,568.8891107920012,518.11612556329,620.0090705047888,309.34698792387235
2025-02-26,574.9894235197917,554.0090896444485,599.1826418057757,309.9673442155211
2025-02-27,595.561824675106,547.7520797397984,636.3785576233505,319.6789182367719
2025-02-28,582.5991881935377,549.6254118700838,628.1137200960677,314.40862827497983
2025-03-01,578.0648525472719,535.4662974360888,624.8370561827097,312.4674878633902
2025-03-02,601.5316281034716,550.0608091875956,623.7115869422041,325.68036172359047
2025-03-03,582.7096542023459,547.0216549209084,613.5922578319643,316.69002945779664
2025-03-04,568.4822739724978,522.1393036941728,597.9977706433469,309.46231571720074
2025-03-05,573.0318937213071,548.1093334144889,598.8040842968593,311.93897317436426
2025-03-06,567.1624400416687,512.7190687883896,596.8843541646518,309.92483062386265
2025-03-07,577.7912910940358,520.7281026585547,623.1040003060892,317.11925965644116
2025-03-08,570.3137356870312,525.1021403805519,606.1922798147057,313.3591954324347
2025-03-09,580.4420711947414,542.2824446148145,632.0853473878819,318.9242149421656
2025-03-10,599.6418733592702,549.3870802281048,641.8832894807158,317.60692444876605
2025-03-11,608.7931390933541,551.9683939253467,661.8631860850455,322.79593801344333
2025-03-12,631.7014864200149,591.0775301260213,683.5999914664756,329.4401493715854
2025-03-13,640.9270464969247,623.7243950313551,696.6965032678735,314.3340100524398
2025-03-14,660.4390859734519,615.9237099075648,715.9887200410737,309.4841077663786
2025-03-15,661.5868813714035,616.5197624591951,707.8912051096775,297.9450039952278
2025-03-16,664.7852255505838,582.2145735869676,746.3417745722645,283.67195457673733
2025-03-17,676.5985061889755,628.0191264585955,722.5441787610442,291.01011018880666
2025-03-18,673.919561452958,622.1166353022909,755.6101762703489,293.58290631799525
2025-03-19,662.9223960407421,631.23835497112,700.6789969270918,291.9077041130525
2025-03-20,678.7590543698592,631.7881368516934,704.083024233712,301.5366745312569
2025-03-21,677.5826630458707,631.1010359158668,711.2761432787847,303.3046835478383
2025-03-22,703.926944965146,648.7869505028236,749.4974943046522,317.0128101621914
2025-03-23,722.2511387558206,692.5087270748004,755.8428577529758,320.5730753465693
2025-03-24,722.074513929985,654.2543906037145,766.2714543622908,321.3504734890899
2025-03-25,700.4052248793136,650.5833939761229,720.0099281052228,312.54137656372757
2025-03-26,700.1353056593863,654.1639945386398,725.1842815115324,312.28158147162634
2025-03-27,698.3879851253666,662.5236012157386,748.6536861778495,312.61771939362876
2025-03-28,709.7360003686956,684.482962108031,772.4505326030363,319.2694558563633
2025-03-29,727.9308120599405,694.9232318101787,772.4351517238243,324.6792203657183
2025-03-30,728.0142255048384,667.4573565982114,800.3970613687111,318.74528262033203
2025-03-31,733.9711662238658,682.7255484086668,802.6338574654548,295.4795355168542
2025-04-01,775.2819295653837,715.9447712334855,868.3527150292398,312.23597646612313
2025-04-02,782.466152125562,738.0762467094103,829.1837103724599,319.5043495816913
2025-04-03,781.6805989628413,726.8542503824697,812.9291767343611,326.0398744370558
2025-04-04,772.3700051448968,720.1410439676823,802.419633490678,325.75706669966127
2025-04-05,771.8841916511992,737.8355710518899,847.8042755681763,328.39148762016555
2025-04-06,797.9908947500826,751.2991075060512,849.1574408974553,343.2957172510572
2025-04-07,775.0106908508023,727.956496802884,842.2590271083361,335.5024635717759
2025-04-08,760.7625290148851,721.7930538583115,816.2360708704467,331.05419017183857
2025-04-09,793.4471968134474,732.9974937661746,819.4753566939422,346.93799598314274
2025-04-10,776.4827551210336,719.0495291309871,811.14265551587,340.8616133103747
2025-04-11,746.5031996334721,707.3885734472666,782.2687045122993,329.5819865931444
2025-04-12,771.850931008434,716.9673773156645,806.1668371774233,342.58807412713446
2025-04-13,787.7714335582549,734.6818396691917,856.0622414760649,343.4051584822384
2025-04-14,799.315065775215,739.896130247431,848.8603779310312,349.6566341973819
2025-04-15,833.192491244769,787.1904260995962,885.3365266645209,346.87447595535764
2025-04-16,876.2784697552477,788.2259226334049,946.8786117744983,365.4205461865086
2025-04-17,913.6146226618395,851.604800135986,1008.1385431363404,356.4629819203431
2025-04-18,954.0401487632346,918.8081298015471,997.881383011844,339.3952859349821
2025-04-19,974.4782018967994,895.3228161307795,1018.7008912860202,349.02514394584506
2025-04-20,950.6955842755697,894.294992011672,1018.1782682605877,348.8791134956219
2025-04-21,959.0811977778558,911.2765052057829,1030.722844890754,344.8691829478086
2025-04-22,957.5335652825383,887.0999084323792,998.089058417205,348.70122552168186
2025-04-23,952.1306359693546,880.9515498437197,1023.8075880166889,346.1034663647236
2025-04-24,1007.2023254754414,933.435582057004,1081.68949377093,365.5906807533363
2025-04-25,985.7389603819228,926.3533708721901,1067.9247016408947,358.45053104797194
2025-04-26,967.956710298254,920.0705099561663,1073.3741605053133,351.0905731948691
2025-04-27,992.1161689670703,917.4976411824099,1044.1257265263832,359.5926672588149
2025-04-28,978.6613364983039,894.2525492756639,1038.1634360208216,358.87837788716683
2025-04-29,967.742473182796,884.9224487839707,1023.1958868850486,362.31466611111796
2025-04-30,974.7061674995172,893.736800546616,1013.0329149907061,370.6107100758621
2025-05-01,969.6196766522498,874.1377413980648,1023.8025160016841,375.1672186698587
2025-05-02,960.0798657657156,865.6282589442474,1017.1898475336608,380.45566307339624
2025-05-03,948.343112667994,898.8487493490493,982.9993318885374,382.5506707010867
2025-05-04,1007.0712618112385,961.4333206492217,1070.0338709145087,404.9341623688132
2025-05-05,1052.0838862939738,1026.9308382939098,1123.3800036168498,399.12135291880645
2025-05-06,1048.3312979061866,1006.1120344240642,1100.7440307595837,389.1355968471368
2025-05-07,1091.1206400179026,1002.4386618884726,1136.431569175804,398.5100949663633
